,Incident Name,County,Administrative Unit,Acres Burned,Crews Involved,Dozers,Engines,Fatalities,Helicopters,Injuries,Personnel Involved,Structures Damaged,Structures Destroyed,Structures Threatened,Water Tenders,Fire Started,Fire Extinguished,Longitude,Latitude,Incident ID
74,Aspen Fire,Fresno,Sierra National Forest,22992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-22T22:15:00Z,2013-09-24T20:15:00Z,-119.318,37.279,bee8c339-4f26-4b78-a5b4-a8a0ebdb8786
75,Water Fire,Kern,Kern County Fire,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-23T09:15:00Z,2013-07-25T18:30:00Z,-118.93388,34.90327,86faecab-ed3a-4fce-95cf-89433a825c72
76,Pratt Fire,Mendocino,CAL FIRE Mendocino Unit,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-23T13:29:00Z,2013-07-23T16:00:00Z,-123.067671,38.980846,f1d7f375-8aa3-4cb5-a864-bae9bb90cbd1
77,Silverwood Fire,San Bernardino,San Bernardino County Fire,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-25T15:09:00Z,2013-07-26T18:15:00Z,-117.352,34.316,ed51bbd2-6f8e-4f46-9073-3673a583fada
78,Lakeville Fire,Sonoma,CAL FIRE Sonoma-Lake-Napa Unit,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-26T13:45:00Z,2013-07-26T17:45:00Z,-122.51253,38.17693,c9b5d1ff-c042-4b39-8bac-b10fb6fc6c13
79,Flume Fire,San Diego,CAL FIRE San Diego Unit,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-28T09:43:00Z,2013-07-28T17:50:00Z,-116.707335,32.612773,c6cfeed9-55bb-4fdb-8a52-e4d947dba721
80,Salmon River Complex,Siskiyou,Klamath National Forest,14754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-07-31T22:00:00Z,2013-08-31T06:45:00Z,-123.176,41.32,ba76c009-09c9-497c-b923-1ac8cf05c20d
81,Branch Fire,Butte,CAL FIRE Butte Unit,92.0,4.0,0.0,4.0,0.0,0.0,2.0,80.0,0.0,0.0,0.0,3.0,2013-08-01T16:01:00Z,2013-08-04T14:45:00Z,-121.50354,39.6612,0b51d3d5-bb3a-426d-9c12-c1878a01d7cf
82,Orleans Complex,Humboldt,Six Rivers National Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-08-03T08:00:00Z,2013-08-03T15:00:00Z,-123.376,41.333,7d4f107b-66a9-43d2-819d-ec855c2947bf
83,Relay Fire,Riverside,CAL FIRE/Riverside County  Fire,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-08-04T16:29:00Z,2013-08-04T18:00:00Z,-116.99895,33.91027,0658b1f8-5323-4152-b6d1-b208736587db
84,Power Fire,Tuolumne,Stanislaus National Forest,1070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-08-05T06:00:00Z,2013-08-14T08:30:00Z,-120.02778,38.25108,1e8441c2-f426-40b4-9f4f-3de9f7e232b9
85,Falls Fire,Riverside,Cleveland National Forest / CAL FIRE Riverside Unit,1383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-08-05T10:10:00Z,2013-08-09T18:45:00Z,-117.40288,33.62236,4867ac70-663e-48f4-b9ae-ca0a486234ca
86,Tram Fire,Riverside,San Bernardino National Forest,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-08-06T13:39:00Z,2013-08-08T09:00:00Z,-116.61,38.838,ac568737-dae6-4050-b1f4-62ab1f9ec930
87,Indian Fire,Lake,CAL FIRE Sanoma-Lake-Napa Unit,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-08-07T12:35:00Z,2013-08-07T18:30:00Z,-122.5906,39.1591,b5b63934-923d-4504-a9b1-75c885477a8d
